Format Version,1.25,Take Name,Take 2026-02-10 02.49.00 PM,Take Notes,,Capture Frame Rate,60,Export Frame Rate,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
5,0.083333,0.00259,-0.453412,-0.015378,0.891165,-2.050768,1.227853,2.160179,0.0174,-0.058449,-0.000875,0.998138,-2.045302,0.984476,2.222839,0.007514,-0.061801,-0.020789,0.997844,-2.24007,0.898001,2.243951,0.020964,-0.058349,0.010102,0.998025,-1.849543,0.901263,2.247451,0.005049,-0.0585,0.004687,0.998264,-2.307503,0.650964,2.131874,0.020083,-0.061125,0.008711,0.99789,-1.768776,0.671758,2.123208,-0.006605,0.048737,0.000434,0.99879,-1.910998,0.455451,2.074742,-0.002334,0.036314,0.002862,0.999334,-2.1723,0.464577,2.072863,-0.003216,0.049353,0.002008,0.998774,-1.899885,0.231003,2.09468,-0.014648,0.042357,0.002718,0.998992,-2.174651,0.190821,2.107727,0.004575,0.044238,-0.005131,0.998997,-1.939293,-0.019492,2.093129,0.001431,0.037057,0.002861,0.999308,-2.138746,-0.021846,2.112289
6,0.1,0.0025,-0.453356,-0.015417,0.891192,-2.050771,1.227845,2.160179,0.017434,-0.058445,-0.000881,0.998138,-2.045304,0.984464,2.222847,0.007423,-0.061723,-0.020056,0.997864,-2.240039,0.897988,2.243994,0.021001,-0.058934,0.010126,0.99799,-1.849522,0.901278,2.247423,0.005302,-0.058382,0.004932,0.998268,-2.307423,0.650966,2.131824,0.020113,-0.061414,0.008501,0.997874,-1.768807,0.671738,2.123215,-0.006711,0.048602,0.000261,0.998796,-1.910965,0.455444,2.074712,-0.00247,0.036598,0.002948,0.999323,-2.172283,0.464562,2.07289,-0.002812,0.048785,0.002153,0.998803,-1.899925,0.230994,2.094617,-0.014487,0.042386,0.00271,0.998993,-2.174634,0.190814,2.107712,0.004366,0.044083,-0.005239,0.999005,-1.93931,-0.019482,2.093139,0.001462,0.03702,0.002684,0.99931,-2.138751,-0.021841,2.112273
7,0.116667,0.002593,-0.453274,-0.01541,0.891234,-2.05077,1.227823,2.160156,0.017328,-0.058425,-0.00084,0.998141,-2.045307,0.984461,2.222842,0.007359,-0.061504,-0.019469,0.99789,-2.240033,0.897975,2.243984,0.021103,-0.058758,0.010752,0.997991,-1.849525,0.901266,2.247402,0.005006,-0.058116,0.004964,0.998285,-2.30752,0.650955,2.131868,0.020074,-0.061497,0.008494,0.997869,-1.768811,0.67173,2.123211,-0.006644,0.049094,0.000502,0.998772,-1.910981,0.455423,2.074709,-0.002446,0.036912,0.003067,0.999311,-2.172271,0.464532,2.072883,-0.00271,0.049127,0.002031,0.998787,-1.899879,0.230978,2.094603,-0.014388,0.042418,0.002668,0.998993,-2.174645,0.190755,2.107696,0.004284,0.044188,-0.004955,0.999002,-1.939308,-0.019515,2.093136,0.001281,0.037197,0.002901,0.999303,-2.138752,-0.021879,2.112289
8,0.133333,0.002647,-0.453424,-0.015397,0.891158,-2.050767,1.227855,2.160182,0.017338,-0.058493,-0.00078,0.998137,-2.045313,0.984474,2.22285,0.007238,-0.062095,-0.019117,0.997861,-2.240065,0.897998,2.243987,0.020832,-0.058646,0.010449,0.998007,-1.849531,0.901287,2.247406,0.005005,-0.058631,0.004796,0.998256,-2.307462,0.650964,2.131853,0.020002,-0.061491,0.008303,0.997873,-1.768824,0.671736,2.123225,-0.006734,0.049039,0.000432,0.998774,-1.910974,0.455435,2.074705,-0.002367,0.036531,0.002921,0.999326,-2.17229,0.46455,2.072878,-0.002549,0.049184,0.002467,0.998783,-1.899906,0.231004,2.094593,-0.014462,0.042438,0.00267,0.998991,-2.174642,0.190801,2.1077,0.004176,0.044291,-0.004782,0.998998,-1.939307,-0.019504,2.093146,0.001211,0.037101,0.003203,0.999306,-2.138757,-0.02188,2.112304
9,0.15,0.002483,-0.453353,-0.01542,0.891194,-2.050768,1.227861,2.160181,0.01742,-0.058442,-0.00089,0.998138,-2.045295,0.984467,2.222839,0.007462,-0.061966,-0.019166,0.997866,-2.240039,0.898005,2.24399,0.021169,-0.058706,0.010259,0.997998,-1.849487,0.90128,2.247414,0.004933,-0.058514,0.00495,0.998262,-2.307476,0.650958,2.131853,0.020049,-0.06134,0.008463,0.99788,-1.768784,0.671751,2.123232,-0.006686,0.048928,0.000384,0.99878,-1.910965,0.455452,2.074718,-0.002394,0.036247,0.002804,0.999336,-2.172307,0.464574,2.07288,-0.002626,0.048976,0.002299,0.998794,-1.899915,0.231019,2.09463,-0.014501,0.042293,0.002641,0.998997,-2.174654,0.190821,2.107719,0.004614,0.044416,-0.004754,0.998991,-1.939298,-0.019481,2.09314,0.001559,0.036947,0.002875,0.999312,-2.138742,-0.021851,2.112344
10,0.166667,0.002671,-0.453418,-0.015328,0.891162,-2.05075,1.227898,2.160195,0.017368,-0.058497,-0.000842,0.998136,-2.0453,0.984505,2.222845,0.007529,-0.06177,-0.019219,0.997877,-2.240014,0.898001,2.243977,0.020959,-0.058293,0.009838,0.998031,-1.849489,0.901295,2.247447,0.005013,-0.058472,0.004809,0.998265,-2.307495,0.651006,2.131854,0.020146,-0.061149,0.008757,0.997887,-1.768762,0.671777,2.123236,-0.006663,0.048768,0.000371,0.998788,-1.91097,0.455478,2.074725,-0.002368,0.036192,0.002814,0.999338,-2.172312,0.464607,2.072858,-0.002733,0.04893,0.002245,0.998796,-1.899903,0.23104,2.094648,-0.01458,0.04233,0.002614,0.998994,-2.174659,0.190842,2.107717,0.004486,0.044248,-0.004982,0.998998,-1.939318,-0.019424,2.093128,0.001404,0.037087,0.003084,0.999306,-2.138756,-0.021829,2.112309
11,0.183333,0.002664,-0.45344,-0.015291,0.891152,-2.050763,1.227894,2.160197,0.017415,-0.058505,-0.000828,0.998135,-2.045295,0.984494,2.222841,0.007688,-0.061615,-0.019752,0.997875,-2.239989,0.897971,2.243982,0.021059,-0.058407,0.010325,0.998017,-1.849513,0.901296,2.247454,0.005053,-0.05872,0.00511,0.998249,-2.307479,0.651031,2.131827,0.02017,-0.061135,0.008688,0.997888,-1.768774,0.671776,2.123226,-0.006643,0.048994,0.000467,0.998777,-1.91097,0.455457,2.074713,-0.002379,0.036188,0.002839,0.999338,-2.172303,0.464604,2.072861,-0.002842,0.048882,0.002151,0.998798,-1.899908,0.231051,2.094622,-0.014632,0.042523,0.002734,0.998985,-2.174642,0.190837,2.107728,0.004486,0.044145,-0.005139,0.999002,-1.939326,-0.019424,2.093125,0.001373,0.037138,0.00311,0.999304,-2.138789,-0.021841,2.112297
12,0.2,0.002793,-0.453391,-0.015505,0.891173,-2.050759,1.227872,2.160195,0.017419,-0.058479,-0.000884,0.998136,-2.04529,0.984474,2.222853,0.007741,-0.061513,-0.020222,0.997871,-2.240005,0.897957,2.24396,0.021306,-0.058763,0.010833,0.997986,-1.849513,0.901273,2.247459,0.005195,-0.058148,0.005153,0.998281,-2.307454,0.650971,2.131811,0.020188,-0.061339,0.008572,0.997876,-1.76878,0.671726,2.123224,-0.006669,0.048749,0.000385,0.998789,-1.910972,0.455435,2.074707,-0.002311,0.036987,0.002978,0.999309,-2.172294,0.464565,2.072858,-0.002681,0.049058,0.002313,0.99879,-1.899904,0.231012,2.094613,-0.014526,0.042348,0.002645,0.998994,-2.174638,0.19082,2.107709,0.004708,0.044432,-0.005007,0.998989,-1.939287,-0.019462,2.093112,0.001446,0.037119,0.002922,0.999306,-2.138771,-0.02186,2.112292
13,0.216667,0.002645,-0.453396,-0.01551,0.89117,-2.050746,1.227866,2.160211,0.017426,-0.058491,-0.000805,0.998136,-2.045295,0.984484,2.222841,0.00741,-0.061735,-0.020285,0.997859,-2.240023,0.897986,2.243942,0.021048,-0.058869,0.010439,0.997989,-1.849501,0.901293,2.24745,0.005088,-0.058176,0.004967,0.998281,-2.307472,0.65096,2.131818,0.020074,-0.061636,0.008252,0.997863,-1.7688,0.671724,2.123219,-0.006667,0.048745,0.00042,0.998789,-1.910979,0.455434,2.074709,-0.002286,0.037529,0.003097,0.999288,-2.172281,0.464564,2.072846,-0.002758,0.04915,0.002375,0.998785,-1.899913,0.231004,2.094595,-0.014518,0.042353,0.002581,0.998994,-2.174637,0.190807,2.107703,0.004563,0.044317,-0.004982,0.998995,-1.939291,-0.019471,2.093107,0.001893,0.0373,0.002762,0.999299,-2.138744,-0.02191,2.112322
14,0.233333,0.002458,-0.453442,-0.015391,0.891149,-2.050758,1.227841,2.16016,0.017375,-0.058521,-0.000751,0.998135,-2.045297,0.984474,2.222849,0.007404,-0.061382,-0.020709,0.997872,-2.240021,0.897964,2.243933,0.020905,-0.058761,0.010456,0.997998,-1.849507,0.901261,2.247451,0.005219,-0.058227,0.004985,0.998277,-2.307467,0.650972,2.131812,0.020045,-0.061531,0.008349,0.997869,-1.768793,0.671707,2.123207,-0.006719,0.048919,0.000347,0.99878,-1.910964,0.455418,2.074677,-0.002404,0.037148,0.003068,0.999302,-2.172266,0.464544,2.07286,-0.002782,0.049116,0.002382,0.998786,-1.899897,0.230996,2.094567,-0.01422,0.042172,0.002599,0.999006,-2.174632,0.190772,2.107673,0.00438,0.044302,-0.004852,0.998997,-1.939294,-0.019486,2.093107,0.00152,0.036937,0.002778,0.999313,-2.138752,-0.021879,2.112274
